SampleID	k__Bacteria|Other|Other	k__Bacteria|p__Actinobacteria|Other	k__Bacteria|p__Actinobacteria|c__Actinobacteria	k__Bacteria|p__Actinobacteria|c__Coriobacteriia	k__Bacteria|p__Actinobacteria|c__Thermoleophilia	k__Bacteria|p__Bacteroidetes|Other	k__Bacteria|p__Bacteroidetes|c__	k__Bacteria|p__Bacteroidetes|c__Bacteroidia	k__Bacteria|p__Bacteroidetes|c__Cytophagia	k__Bacteria|p__Bacteroidetes|c__Flavobacteriia	k__Bacteria|p__Cyanobacteria|c__4C0d-2	k__Bacteria|p__Cyanobacteria|c__Chloroplast	k__Bacteria|p__Cyanobacteria|c__Nostocophycideae	k__Bacteria|p__Firmicutes|Other	k__Bacteria|p__Firmicutes|c__Bacilli	k__Bacteria|p__Firmicutes|c__Clostridia	k__Bacteria|p__Firmicutes|c__Erysipelotrichi	k__Bacteria|p__Fusobacteria|c__Fusobacteriia	k__Bacteria|p__Gemmatimonadetes|c__Gemm-1	k__Bacteria|p__Lentisphaerae|c__[Lentisphaeria]	k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria	k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	k__Bacteria|p__Spirochaetes|c__[Brachyspirae]	k__Bacteria|p__Synergistetes|c__Synergistia	k__Bacteria|p__TM7|c__TM7-3	k__Bacteria|p__Tenericutes|c__Mollicutes	k__Bacteria|p__Tenericutes|c__RF3	k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	k__Bacteria|p__WPS-2|c__	k__Bacteria|p__[Thermi]|c__Deinococci
H160STV8.03	0.0	0.0	0.00892332981097	0.0249584863886	0.0	0.0	0.0	0.0763179523306	0.0	0.0	0.0	0.000100639058018	0.0	0.0	0.0329425183247	0.650983746792	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.205773327295	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
E160SWNP.03	1.05224391014e-05	0.0	0.0199821118535	0.0421002788446	0.0	0.0	0.0	0.0154890303572	0.0	0.0	0.0	0.0	0.0	0.0	0.00158888830431	0.848003367181	0.0	0.00166254537802	0.0	0.0	0.0	0.000820750249908	0.0	2.10448782028e-05	0.0703214605145	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
C160SMD9.03	0.0	0.0	0.00437598278573	0.0	0.0	0.0	0.0	0.0043863278987	0.0	0.0	0.0	0.0	0.0	0.0	0.0958991972192	0.64012455516	0.0	0.0	0.0	0.0	0.0	0.000765538359679	0.0	0.0	0.254448398577	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
F160TWTF.03	0.0	0.0	0.00615317341329	0.0124312843578	0.0	0.0	0.0	0.00808970514743	0.0	0.0	0.0	0.00390429785107	0.0	0.0	0.410669665167	0.206709145427	0.0	0.0	0.0	0.0	0.00103073463268	0.0	0.0	3.12343828086e-05	0.35098075962	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
K160SW51.03	0.0	0.0	0.123113063906	0.00777250909935	0.0	0.0	0.0	0.17377938255	0.0	0.0	0.0	0.0	0.0	0.0	0.00397326024855	0.589594118415	4.35028494366e-05	0.00223314627108	0.0	0.0	0.0	0.00556836472789	0.000406026594742	0.00533634953089	0.0881802758081	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
G160S7KJ.03	0.0	0.0	3.45833285301e-05	0.0	0.0	0.0	0.0	0.223800246694	0.0	0.0	0.0	0.0	0.0	0.0	0.775992253334	9.22222094136e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.06944332369e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
G160TL1J.03	0.0	0.0	0.0612882024318	0.000197173841604	0.0	0.0	0.0	0.248241866579	0.0	0.0	0.0	0.0	0.0	0.0	0.031843575419	0.604567860664	3.28623069339e-05	0.000197173841604	0.0	0.0	0.0	0.00486362142622	0.0	0.0484719027276	0.000295760762406	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
F160QF3F.03	0.000105616695887	0.0	0.0145751040324	2.11233391775e-05	0.0	0.0	0.0	4.22466783549e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0403033311506	0.596079508249	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.348873069855	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
C160QF9Z.03	0.00028525583883	0.0	0.098056694598	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.139573304808	0.454769121055	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3073156237	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
B160T0BD.03	1.6501650165e-05	0.0	0.0302145214521	0.000957095709571	0.0	0.0	0.0	0.101881188119	0.0	0.0	0.0	0.0	0.0	0.0	0.0226072607261	0.79	0.0	0.0	0.0	0.0	0.0	0.000792079207921	0.0	0.0	0.0533663366337	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00016501650165
B160ST6B.03	0.0	0.0	0.0153308556193	0.0126040235921	0.0	0.0	0.0	0.00123212410116	0.0	0.0	0.0	0.0	0.0	0.0	0.0742910236729	0.314636018421	0.0	0.0	0.0	0.0	0.0	4.03975115133e-05	0.0	0.0	0.581865557082	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
B160PY4H.03	0.0	0.0	0.0	2.14408233276e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.998895797599	0.000439536878216	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000557461406518	0.0	0.0	0.0	8.57632933105e-05	0.0	0.0	0.0	0.0
B160QC3F.03	0.0	0.0	0.000304160385093	5.28974582771e-05	0.0	0.0	0.0	2.64487291386e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.998690787908	0.000476077124494	0.0	0.0	0.0	0.0	0.0	5.28974582771e-05	0.0	0.0	0.000383506572509	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.32243645693e-05
A160S92C.03	9.64115616745e-06	0.0	0.000106052717842	0.0	0.0	0.0	0.0	0.0020439251075	0.0	0.0	0.0	0.0	0.0	0.0	0.166888413259	3.85646246698e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.830913403135	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
G160QC4B.03	2.47442067626e-05	0.0	0.000185581550719	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.808789142242	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.191000532	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
H160SFDH.03	9.84920861609e-06	0.0	0.00203878618353	0.0	0.0	0.0	0.0	0.00388058819474	0.0	0.0	0.0	0.0	0.0	0.0	0.343146428184	4.92460430804e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.650875102186	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
C160SDQY.03	0.000326477309827	0.0	0.468437325959	0.00497397783795	0.0	0.0	0.0	0.136409901865	0.0	0.0	0.0	0.0	0.0	0.0	0.0285379577884	0.320043786369	7.68181905475e-05	0.0	0.0	0.00132511378694	0.0253500028807	0.0	0.00318795490772	0.00193965931132	0.00939102379443	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
D160V0BQ.03	0.000107848272887	0.0	0.0653560533695	0.00469910331865	0.0	3.08137922534e-05	0.0	0.252534434413	0.0	0.0	0.0	0.0	0.0	0.0	0.00630142051582	0.653807044033	0.000308137922534	0.0	0.0	0.0	0.0	0.0	0.00688688256864	0.00667118602286	0.00329707577112	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
D160TL6L.03	6.42620422477e-05	0.0	0.159121996897	0.00576522321879	0.0	0.0	0.0	0.299433575999	0.0	0.0	0.0	0.0	0.0	0.0	0.00337834736388	0.468066355149	0.000660981005976	0.0	0.0	0.0	0.0	0.0	0.00849176986845	0.00868455599519	0.0463237521688	0.0	0.0	9.18029174967e-06	0.0	0.0	0.0	0.0	0.0
F160T8C2.03	8.22618724447e-06	0.0	0.663121179964	0.00146426132952	0.0	0.0	0.0	0.041723221704	0.0	0.0	0.0	0.0	0.0	8.22618724447e-06	0.00816860393376	0.257652410684	0.000296142740801	0.0	0.0	4.93571234668e-05	0.0	0.0	0.00228688005396	0.0020154158749	0.0232060742167	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
H160WTFN.03	0.0	0.0	0.0702937850942	0.00793392230889	0.0	0.0	0.0	0.344684846975	0.0	0.0	0.0	0.0	0.0	0.0	0.00132232038481	0.535558919913	5.74921906441e-05	0.00806807075372	0.0	0.0	0.000306625016769	0.00753147697438	0.00116900787643	0.0224411184147	0.000574921906441	0.0	0.0	0.0	0.0	0.0	5.74921906441e-05	0.0	0.0
K160WTJ4.03	3.13971742543e-05	0.0	0.0739874411303	0.0226844583987	0.0	0.0	0.0	0.125965463108	0.0	0.0	0.0	0.0	0.0	1.56985871272e-05	0.0218681318681	0.67956043956	3.13971742543e-05	0.00274725274725	0.0	0.0	4.70957613815e-05	0.00218210361068	0.00164835164835	0.0583830455259	0.0107849293564	0.0	6.27943485086e-05	0.0	0.0	0.0	0.0	0.0	0.0
C160SRSL.03	9.25463194329e-06	0.0	0.635321228275	0.00214707461084	0.0	0.0	0.0	0.0627926777352	0.0	0.0	0.0	0.0	0.0	0.0	0.0151961056509	0.263460862162	0.000249875062469	9.25463194329e-06	0.0	0.00402576489533	0.00442371406889	9.25463194329e-06	0.001304903104	0.000712606659633	0.0103281692487	0.0	0.0	9.25463194329e-06	0.0	0.0	0.0	0.0	0.0
E160V9S3.03	0.000244762091247	0.0	0.0767818680243	0.00418543176033	0.0	0.0	0.0	0.169889367535	0.0	0.0	0.0	0.0	0.0	0.0	0.000954572155864	0.737296847464	0.000220285882123	0.0	0.0	0.0	0.0	4.89524182495e-05	0.00168885842961	0.0066330526728	0.00205600156648	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
E160T48S.03	1.58383224049e-05	0.0	0.143685260857	0.00142544901644	0.0	0.0	0.0	0.101808736419	0.0	0.0	0.0	0.0	0.0	0.0	0.0889321803035	0.590531850866	3.16766448098e-05	3.16766448098e-05	0.0	1.58383224049e-05	0.0	0.000221736513668	0.00288257467769	0.0640976907726	0.00631949063955	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
A160TTHK.03	2.57095845331e-05	0.0	0.0970022624434	0.0187679967092	0.0	0.0	0.0	0.0584378856438	0.0	0.0	0.0	0.0	0.0	2.57095845331e-05	0.00547614150555	0.806329699712	0.000179967091732	0.0	0.0	0.0	0.0	0.0	0.00244241053065	0.00293089263677	0.0083813245578	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
C160S70P.03	1.2113576897e-05	0.0	0.134763542979	0.00751041767613	0.0	0.0	0.0	0.139972381045	0.0	0.0	0.0	0.0	0.0	0.0	0.020811125109	0.656689117163	0.000690473883128	0.0	0.0	0.0	0.000751041767613	0.0	0.00743773621475	0.0167773040023	0.014584746584	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
G160SZZN.03	0.000223555274042	0.0	0.196970826037	0.00367003241551	0.0	0.0	0.0	0.0518648235776	0.0	0.0	0.0	0.0	0.0	0.0	0.0390290249264	0.670758970155	0.000316703304892	0.0	0.0	0.0	0.0	0.0	0.00380043965871	0.00864413726294	0.0247028577816	0.0	1.86296061701e-05	0.0	0.0	0.0	0.0	0.0	0.0
E160SKS5.03	0.0	0.0	0.0340221224199	3.44585979945e-05	0.0	0.0	0.0	0.172292989973	0.0	0.0	0.0	0.0	0.0	0.0	0.281630121409	0.367994854183	0.0	1.14861993315e-05	0.0	0.0	0.0	1.14861993315e-05	0.0	0.0	0.144002481019	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
C160SSVD.03	0.00077786678741	0.0	0.00025541894512	0.0	0.0	0.0	0.0	2.32199041018e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0207121544588	0.850870165906	0.0	0.0	0.0	0.0	1.16099520509e-05	0.0	0.0	2.32199041018e-05	0.127326344142	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
J160TD1S.03	3.752063635e-05	0.0	0.133667266997	0.00941767972385	0.0	0.0	0.0	0.127063634999	0.0	0.0	0.0	0.0	0.0	0.000131322227225	0.0102431337235	0.704862674471	1.8760318175e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0057781779979	0.00741032567912	0.0	0.0	0.0	0.0	0.0	0.00136950322677	0.0	0.0
A160SSTH.03	0.0010815714186	0.0	0.0114786127974	8.14086014002e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000255855604401	0.00740818272742	0.875619286861	0.0	0.0	0.0	0.0	0.0	1.16298002e-05	0.0	0.0	0.10406345219	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
G160TMTH.03	3.0440936972e-05	0.0	0.211397086802	0.00114153513645	0.0	0.0	0.0	0.123072708178	0.0	0.0	0.0	0.0	0.0	0.000410952649123	0.0213238763489	0.612791281716	0.0	0.0	0.0	0.0	0.0	3.0440936972e-05	0.0	0.0	0.0297864568271	0.0	0.0	0.0	0.0	0.0	1.5220468486e-05	0.0	0.0
F160SYRG.03	0.000579601171734	0.0	0.129157071918	0.000266303241067	0.0	0.0	0.0	1.56648965334e-05	0.0	0.0	0.0	0.0	0.0	9.39893792002e-05	0.0226201105942	0.812491188496	6.26595861334e-05	0.0	0.0	0.0	0.0	0.0	0.0	3.13297930667e-05	0.0346820809249	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
K160VTCD.03	4.15049702202e-05	0.0	0.100192998112	0.0202959304377	0.0	2.07524851101e-05	0.0	0.247328117542	0.0	0.0	0.0	0.0	0.0	0.00010376242555	0.00367318986449	0.571440429991	0.000830099404404	4.15049702202e-05	0.0	0.0	0.000269782306431	0.0308589453587	0.00207524851101	6.22574553303e-05	0.018469711748	0.0	0.00419200199224	0.0	0.0	0.0	0.0	0.0	0.00010376242555
D160V4YZ.03	3.16050631311e-05	0.0	0.199269923042	0.00180148859847	0.0	0.0	0.0	0.0445473364833	0.0	0.0	0.0	0.0	0.0	0.000300248099746	0.014696354356	0.717956416618	0.000158025315656	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0212227998925	0.0	1.58025315656e-05	0.0	0.0	0.0	0.0	0.0	0.0
J160T3SN.03	9.02480532206e-05	0.0	0.202967871693	0.00349388891754	0.0	0.0	0.0	0.0465937806199	0.0	0.0	0.0	0.0	0.0	0.00025785158063	0.0151874580991	0.72310608014	3.86777370945e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0021272755402	0.00558248672064	0.0	0.0	0.0	0.0	0.0	0.000554380898355	0.0	0.0
D160TD2P.03	0.0	0.0	0.0051869392226	0.0108893506661	0.0	0.0	0.0	0.108990157702	0.0	0.0	0.0	0.0	0.0	0.000225519096635	0.0203611527248	0.828202773885	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0245171475056	0.0	0.0	0.0	0.0	0.0	0.00162695919715	0.0	0.0
J160WDD4.03	0.0	0.0	0.0694248713118	0.00347124356559	0.0	0.0	0.0	0.326474907656	0.0	0.0	0.0	0.0	0.0	1.48343742119e-05	0.00139443117592	0.562089273264	0.000163178116331	0.0	0.0	0.0	0.0	0.0	0.0	0.00950883386984	0.0274584266663	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
H160VGCN.03	3.16025661284e-05	0.0	0.0168125651803	0.00206996808141	0.0	0.0	0.0	0.132730777739	0.0	0.0	0.0	0.0	0.0	0.0	0.00535663495876	0.827434187656	0.000252820529027	1.58012830642e-05	0.0	0.0	0.0	3.16025661284e-05	1.58012830642e-05	0.0	0.0152324368739	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.58012830642e-05
A160TG7Z.03	0.000141456054319	0.0	0.126178800453	0.0037250094304	0.0	0.0	0.0	0.00943040362127	0.0	0.0	0.0	0.0	0.0	3.14346787376e-05	0.0143027788256	0.815054067647	0.000172890733057	1.57173393688e-05	0.0	0.0	0.0	6.28693574752e-05	0.0	3.14346787376e-05	0.0308531371809	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
G160V9R6.03	0.000305099520558	0.0	0.0114484962952	0.0414644776987	0.0	0.0	0.0	0.187926776115	0.0	0.0	0.0	0.0	0.0	0.0	0.0377161121604	0.647450239721	0.0014237977626	0.00765654511114	0.0	0.0	0.0	0.0014237977626	0.0	0.000493970652332	0.0626906872003	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
B160V5P5.03	0.000520118170848	0.0	0.0800357841302	0.00636624641118	0.0	0.0	0.0	0.034951941081	0.0	0.0	0.0	0.0	0.0	0.000166437814671	0.0255898140057	0.745474971914	0.000957017434361	0.0	0.0	0.0	0.0	0.0	0.0	4.16094536679e-05	0.105896059585	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
E160VWM4.03	4.22564969364e-05	0.0	0.282808648496	0.00011268399183	0.0	0.0	0.0	0.0204380590182	0.0	0.0	0.0	0.0	0.0	8.45129938728e-05	0.00642298753433	0.568349883795	0.000183111486724	1.40854989788e-05	0.0	0.0	0.0	0.0	0.0	0.00328192126206	0.118247763927	0.0	0.0	1.40854989788e-05	0.0	0.0	0.0	0.0	0.0
C160V4Y2.03	0.0	0.0	0.156571407914	0.000524194277245	0.0	0.0	0.0	0.0659761762739	0.0	0.0	0.0	0.0	0.0	1.80756647326e-05	0.0269508161163	0.727726262133	0.000307286300454	1.80756647326e-05	0.0	0.0	0.0	3.61513294651e-05	0.0	0.00406702456483	0.0177864540968	0.0	1.80756647326e-05	0.0	0.0	0.0	0.0	0.0	0.0
A160TWGJ.03	2.68795527242e-05	0.0	0.0520522538505	0.00745907588098	0.0	0.0	0.0	0.00220412332339	0.0	0.0	0.0	0.0	0.0	0.0	0.0173776308362	0.87040023654	0.00133053785985	9.40784345348e-05	0.0	0.0	0.0	0.0	0.0	1.34397763621e-05	0.0490417439454	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
B160TXGX.03	1.42906139248e-05	0.0	0.225477306505	0.00240082313936	0.0	0.0	0.0	0.0425002858123	0.0	0.0	0.0	0.0	0.0	0.000185777981022	0.0186778323997	0.688078769864	0.000100034297473	0.0	0.0	0.0	0.0	0.0	0.0	0.00481593689265	0.0165056590831	0.0	0.0	1.42906139248e-05	0.0	0.0	0.00122899279753	0.0	0.0
F160T384.03	0.000300608289716	0.0	0.178004314613	0.00345699533173	0.0	0.0	0.0	0.300723228179	0.0	0.0	0.0	0.0	0.0	8.84142028575e-06	0.0065161267506	0.47897510256	0.000106097043429	0.0	0.0	0.0	8.84142028575e-06	0.0	0.0	0.0288849200736	0.00301492431744	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
F160WLV9.03	5.68763508133e-05	0.0	0.0915709248095	0.00307132294392	0.0	0.0	0.0	0.202934819702	0.0	0.0	0.0	0.0	0.0	3.79175672089e-05	0.0012891972851	0.631005194707	0.000625639858947	0.0	0.0	0.0	0.0	0.023679520722	0.00504303643878	0.0	0.0274333598756	0.0	0.0132521897395	0.0	0.0	0.0	0.0	0.0	0.0
E160TPM2.03	0.000250027780865	0.0	0.0282809201022	0.00515335037226	0.0	0.0	0.0	0.00729247694188	0.0	0.0	0.0	0.0	0.0	1.38904322703e-05	0.00481997999778	0.871444049339	0.000472274697189	0.000194466051784	0.0	0.0	0.0	4.16712968108e-05	0.0	2.77808645405e-05	0.0820091121236	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
F160SX2T.03	0.000952492030169	0.0	0.011857553845	1.94386128606e-05	0.0	0.0	0.0	0.010594044009	0.0	0.0	0.0	0.0	0.0	7.77544514423e-05	0.0942189565353	0.702064380686	0.000116631677164	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.17749397403	0.0	0.0	0.0	0.0	0.0	0.00260477412332	0.0	0.0
G160TXHW.03	2.8237021559e-05	0.0	0.172316424064	0.00405201259371	0.0	0.0	0.0	0.0473958406867	0.0	0.0	0.0	0.0	0.0	0.000240014683251	0.0152621101526	0.733188383289	0.000127066597015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0273899109122	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
E160V5WT.03	7.62055721514e-05	0.0	0.0113851124794	0.00128025361214	0.0	0.0	0.0	0.131652746449	0.0	0.0	0.0	0.0	0.0	0.0	0.00409985978175	0.699338535634	0.00297201731391	1.52411144303e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.149180028044	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
